employee_id,exit_date,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway
E00156,2024-03-15,voluntary,Better opportunity,False,True,Meets Expectations,185700.0,E00273,pull
E00200,2025-08-10,voluntary,Career advancement,True,True,Outstanding,143000.0,E07060,pull
E00273,2024-03-25,voluntary,Career advancement,False,True,High Performer,258500.0,E08830,pull
E00402,2025-11-11,voluntary,Career advancement,True,True,Outstanding,134500.0,E03948,pull
E00829,2025-03-29,voluntary,Career advancement,False,True,Outstanding,175400.0,E09938,pull
E00861,2024-03-26,voluntary,Better opportunity,False,True,Outstanding,120600.0,E01502,pull
E00874,2024-11-29,voluntary,Career advancement,True,True,Outstanding,139300.0,E03511,pull
E00891,2024-03-09,voluntary,Career advancement,False,True,Outstanding,141100.0,E14118,pull
E01140,2025-11-28,voluntary,Better opportunity,True,True,Outstanding,120000.0,E01600,pull
E01249,2024-08-19,voluntary,Better opportunity,True,True,Outstanding,187100.0,E05144,pull
E01302,2024-08-29,voluntary,Career advancement,False,True,Outstanding,131300.0,E01000,pull
E01365,2025-03-25,voluntary,Better opportunity,True,True,Below Expectations,187600.0,E06153,pull
E01522,2025-10-17,voluntary,Career advancement,True,True,Outstanding,142300.0,E07892,push
E01535,2024-04-09,voluntary,Better opportunity,False,True,Outstanding,128200.0,E01474,pull
E01686,2025-07-27,voluntary,Career advancement,True,True,High Performer,173700.0,E02048,pull
E01730,2025-10-13,voluntary,Career advancement,True,True,High Performer,182100.0,E02897,pull
E01788,2025-06-24,voluntary,Better opportunity,True,True,Outstanding,172700.0,E04361,pull
E01910,2024-07-17,voluntary,Better opportunity,True,True,Meets Expectations,179400.0,E11918,pull
E01997,2025-07-31,voluntary,Career advancement,True,True,Below Expectations,129300.0,E07676,pull
E02051,2025-10-24,voluntary,Career advancement,True,True,Outstanding,122100.0,E14091,push
E02071,2025-11-28,voluntary,Better opportunity,True,True,High Performer,127200.0,E01644,pull
E02183,2025-10-10,voluntary,Better opportunity,False,True,Meets Expectations,124300.0,E01281,pull
