A,B,mean_A,mean_B,diff,se,T,df,pval,hedges
Corporate Operations,Executive Leadership,0.004332477535301669,0.0010683760683760685,0.0032641014669256003,0.0013541510832916581,2.4104411296494717,2286.906981200409,0.19448605447514344,0.05232328303627829
Corporate Operations,Insurance,0.004332477535301669,0.003095558546433378,0.0012369189888682907,0.0010524702477909726,1.1752531641293016,12252.078299569517,0.9035866196420079,0.020482196697753325
Corporate Operations,Retail Banking,0.004332477535301669,0.0018214936247723133,0.0025109839105293555,0.000908173556962561,2.764872299219421,8699.33198675411,0.08307493772210595,0.04926420833226905
Corporate Operations,Risk & Compliance,0.004332477535301669,0.004268943436499467,6.353409880220217e-05,0.0010938077196620873,0.058085253614620594,13370.498616085375,0.9999999967284969,0.0009713163821195796
Corporate Operations,Technology,0.004332477535301669,0.00250901677904971,0.001823460756251959,0.0009426258264662821,1.9344481182822593,9876.536981178593,0.45733262715058454,0.03276229857750896
Corporate Operations,Wealth Management,0.004332477535301669,0.0027998133457769483,0.0015326641895247206,0.001061434627709553,1.4439553313160922,11944.665371287118,0.7777887850167284,0.025752766342061476
Executive Leadership,Insurance,0.0010683760683760685,0.003095558546433378,-0.0020271824780573097,0.0012477272590845456,-1.624700000178443,1710.8584757588176,0.6663084720086805,-0.03789746195829315
Executive Leadership,Retail Banking,0.0010683760683760685,0.0018214936247723133,-0.0007531175563962448,0.0011286757285170403,-0.6672576873658487,1163.5722090363774,0.9942975697544294,-0.01789763476177122
Executive Leadership,Risk & Compliance,0.0010683760683760685,0.004268943436499467,-0.003200567368123398,0.0012827879864458574,-2.4950088416333047,1902.1338854448293,0.16153722957572658,-0.05102719620363533
Executive Leadership,Technology,0.0010683760683760685,0.00250901677904971,-0.0014406407106736414,0.0011565782028460864,-1.2456059669190889,1281.3708071302092,0.8760692117587832,-0.02937520605667959
Executive Leadership,Wealth Management,0.0010683760683760685,0.0027998133457769483,-0.0017314372774008798,0.001255298036116666,-1.3793037410917783,1745.219552169242,0.8130083557244757,-0.03412731362259103
Insurance,Retail Banking,0.003095558546433378,0.0018214936247723133,0.0012740649216610648,0.0007401873859021726,1.7212734855082392,12248.856931781227,0.601674342231261,0.02677751476541823
Insurance,Risk & Compliance,0.003095558546433378,0.004268943436499467,-0.0011733848900660885,0.0009589126572712642,-1.2236619061898073,15843.412955114947,0.8851892738146313,-0.01927473759288641
Insurance,Technology,0.003095558546433378,0.00250901677904971,0.0005865417673836682,0.0007820751916560857,0.749981298015137,14253.310295097155,0.9893475072039101,0.011250775876796048
Insurance,Wealth Management,0.003095558546433378,0.0027998133457769483,0.0002957452006564299,0.0009218143118782541,0.3208294738382078,13733.61139239619,0.9999128466041133,0.005444798767227474
Retail Banking,Risk & Compliance,0.0018214936247723133,0.004268943436499467,-0.0024474498117271534,0.0007978715882620936,-3.067473322440438,12898.851174389796,0.03521555903663598,-0.046718640181164596
Retail Banking,Technology,0.0018214936247723133,0.00250901677904971,-0.0006875231542773966,0.0005733473576155572,-1.1991389602573124,25137.91739440681,0.8947595733051662,-0.014833780987325738
Retail Banking,Wealth Management,0.0018214936247723133,0.0027998133457769483,-0.000978319721004635,0.0007528792816012521,-1.2994376985961251,10490.171486516521,0.8524857821244167,-0.021201886025992142
Risk & Compliance,Technology,0.004268943436499467,0.00250901677904971,0.0017599266574497567,0.0008368771179277679,2.102969025856026,14792.554847113573,0.35079723741733615,0.031116261165041466
Risk & Compliance,Wealth Management,0.004268943436499467,0.0027998133457769483,0.0014691300907225184,0.0009687431706550312,1.5165320749865443,14804.785536305268,0.7349919029098132,0.02441591831752618
Technology,Wealth Management,0.00250901677904971,0.0027998133457769483,-0.00029079656672723834,0.0007940978855403337,-0.36619738198820356,12284.765638010755,0.9998110642065416,-0.0057028403634261605
