group1,group2,meandiff,p-adj,lower,upper,reject
Corporate Operations,Executive Leadership,-0.0033,0.5937,-0.0088,0.0023,False
Corporate Operations,Insurance,-0.0012,0.833,-0.004,0.0015,False
Corporate Operations,Retail Banking,-0.0025,0.036,-0.0049,-0.0001,True
Corporate Operations,Risk & Compliance,-0.0001,1.0,-0.0027,0.0026,False
Corporate Operations,Technology,-0.0018,0.2977,-0.0043,0.0006,False
Corporate Operations,Wealth Management,-0.0015,0.6794,-0.0043,0.0013,False
Executive Leadership,Insurance,0.002,0.9319,-0.0035,0.0075,False
Executive Leadership,Retail Banking,0.0008,0.9996,-0.0046,0.0061,False
Executive Leadership,Risk & Compliance,0.0032,0.5965,-0.0023,0.0087,False
Executive Leadership,Technology,0.0014,0.9858,-0.0039,0.0068,False
Executive Leadership,Wealth Management,0.0017,0.9693,-0.0038,0.0073,False
Insurance,Retail Banking,-0.0013,0.652,-0.0036,0.001,False
Insurance,Risk & Compliance,0.0012,0.8167,-0.0013,0.0037,False
Insurance,Technology,-0.0006,0.9895,-0.0029,0.0017,False
Insurance,Wealth Management,-0.0003,0.9999,-0.003,0.0024,False
Retail Banking,Risk & Compliance,0.0024,0.0173,0.0003,0.0046,True
Retail Banking,Technology,0.0007,0.9447,-0.0013,0.0026,False
Retail Banking,Wealth Management,0.001,0.8926,-0.0014,0.0034,False
Risk & Compliance,Technology,-0.0018,0.2278,-0.004,0.0005,False
Risk & Compliance,Wealth Management,-0.0015,0.6486,-0.0041,0.0012,False
Technology,Wealth Management,0.0003,0.9998,-0.0021,0.0027,False
