employee_id,wave_number,survey_date,response_flag,manager_effectiveness,psychological_safety,recognition,career_development,senior_leadership_trust,purpose_meaning,wellbeing,confidence_in_role_future
E00156,1,2024-03-05,True,2.98,3.21,2.86,2.95,4.07,4.16,4.41,2.91
E00200,1,2024-02-27,False,,,,,,,,
E00200,2,2024-07-01,True,3.74,4.85,4.17,2.47,3.89,2.36,3.17,3.47
E00200,3,2024-10-29,True,3.94,4.27,4.15,3.16,3.12,3.48,4.35,3.56
E00200,4,2025-02-02,False,,,,,,,,
E00200,5,2025-07-30,True,4.48,4.2,3.09,3.36,2.23,3.77,4.67,4.35
E00273,1,2024-02-28,True,3.7,3.87,3.21,4.59,4.1,3.74,4.27,4.69
E00402,1,2024-02-24,True,2.83,2.27,1.58,2.4,1.45,2.87,2.37,2.99
E00402,2,2024-07-07,True,2.13,2.36,1.78,1.89,2.54,2.28,2.47,2.74
E00402,3,2024-10-28,True,2.29,2.58,2.13,1.77,2.59,3.29,1.98,2.6
E00402,4,2025-01-30,False,,,,,,,,
E00402,5,2025-08-05,True,1.88,1.84,1.86,1.99,2.26,2.95,1.37,3.21
E00829,1,2024-02-27,True,3.53,3.96,3.78,2.75,4.57,3.89,4.39,4.19
E00829,2,2024-07-07,True,3.51,4.54,4.67,2.76,4.88,4.86,3.84,3.15
E00829,3,2024-09-23,True,2.72,3.58,3.92,2.53,4.66,4.29,3.85,3.81
E00829,4,2025-02-06,True,2.28,3.03,3.4,1.29,4.76,4.7,3.63,2.68
E00861,1,2024-03-07,True,3.68,4.88,3.85,4.41,4.61,4.61,3.97,4.69
E00874,1,2024-02-28,True,3.68,3.13,3.27,3.44,2.89,3.53,3.42,3.0
E00874,2,2024-07-07,False,,,,,,,,
E00874,3,2024-10-24,True,4.53,3.23,2.38,3.47,2.43,2.64,4.38,2.82
E00891,1,2024-03-08,True,3.4,4.16,4.05,3.95,4.35,3.44,4.02,3.88
E01140,1,2024-03-03,True,3.51,3.89,3.54,3.05,3.92,2.95,3.61,3.81
E01140,2,2024-06-28,True,4.09,3.37,3.21,3.14,3.82,2.73,3.34,3.23
E01140,3,2024-09-29,True,3.43,2.53,4.37,3.13,3.79,2.1,3.37,3.93
E01140,4,2025-01-29,True,3.76,2.89,3.11,4.44,4.45,1.03,3.43,3.96
