employee_id,review_date,performance_rating,review_cycle,promotion_recommendation,goal_achievement_score,reviewer_id
E00200,2024-05-20,Meets Expectations,2024-H1,False,77.1,E07060
E00200,2024-11-12,Outstanding,2024-H2,False,86.8,E07060
E00200,2025-06-23,Meets Expectations,2025-H1,False,66.4,E07060
E00402,2024-06-24,High Performer,2024-H1,False,77.8,E03948
E00402,2024-12-23,Meets Expectations,2024-H2,False,62.9,E03948
E00402,2025-06-20,Meets Expectations,2025-H1,False,56.2,E03948
E00829,2024-06-15,High Performer,2024-H1,True,78.0,E09938
E00829,2024-12-04,Meets Expectations,2024-H2,False,52.3,E09938
E00874,2024-05-25,Meets Expectations,2024-H1,False,63.5,E03511
E00874,2024-11-20,Meets Expectations,2024-H2,False,61.3,E03511
E01140,2024-06-10,Meets Expectations,2024-H1,False,60.6,E01600
E01140,2024-12-16,Outstanding,2024-H2,False,93.1,E01600
E01140,2025-05-31,High Performer,2025-H1,True,80.0,E01600
E01249,2024-06-02,Meets Expectations,2024-H1,False,79.6,E05144
E01302,2024-05-17,Meets Expectations,2024-H1,False,69.2,E01000
E01365,2024-05-30,High Performer,2024-H1,False,79.1,E06153
E01365,2024-12-23,Meets Expectations,2024-H2,False,69.7,E06153
E01522,2024-05-27,Below Expectations,2024-H1,False,56.1,E07892
E01522,2024-12-07,Meets Expectations,2024-H2,False,48.0,E07892
E01522,2025-05-18,Meets Expectations,2025-H1,False,76.3,E07892
E01686,2024-06-14,High Performer,2024-H1,False,89.7,E02048
E01686,2024-12-07,High Performer,2024-H2,False,79.9,E02048
E01686,2025-06-06,High Performer,2025-H1,False,75.9,E02048
E01730,2024-05-16,Meets Expectations,2024-H1,False,47.9,E02897
E01730,2024-12-16,Outstanding,2024-H2,True,75.5,E02897
E01730,2025-06-18,High Performer,2025-H1,False,73.9,E02897
E01788,2024-06-11,High Performer,2024-H1,False,67.5,E04361
E01788,2024-12-10,High Performer,2024-H2,False,83.5,E04361
E01788,2025-05-19,Meets Expectations,2025-H1,False,65.0,E04361
E01910,2024-06-26,Meets Expectations,2024-H1,False,57.1,E11918
E01997,2024-06-12,Below Expectations,2024-H1,False,32.5,E07676
E01997,2024-12-11,Outstanding,2024-H2,False,79.9,E07676
