employee_id,review_date,performance_rating,review_cycle,promotion_recommendation,goal_achievement_score,reviewer_id,exit_dt,voluntary,regrettable,hipo,compa_ratio,department,role_level,tenure_years,days_to_exit,exit_180,no_promo
E00001,2024-06-01,Meets Expectations,2024-H1,False,46.1,E04330,,0,0,0,0.79,Wealth Management,2,38.5,,0,1
E00001,2024-11-21,Meets Expectations,2024-H2,False,65.4,E04330,,0,0,0,0.79,Wealth Management,2,38.5,,0,1
E00001,2025-05-28,Meets Expectations,2025-H1,False,76.4,E04330,,0,0,0,0.79,Wealth Management,2,38.5,,0,1
E00003,2024-06-15,Meets Expectations,2024-H1,False,67.0,E13109,,0,0,0,0.85,Wealth Management,3,38.5,,0,1
E00003,2024-12-26,High Performer,2024-H2,True,68.7,E13109,,0,0,0,0.85,Wealth Management,3,38.5,,0,0
E00003,2025-05-23,High Performer,2025-H1,True,83.2,E13109,,0,0,0,0.85,Wealth Management,3,38.5,,0,0
E00004,2024-05-27,Meets Expectations,2024-H1,False,67.0,E14294,,0,0,0,0.87,Insurance,2,38.5,,0,1
E00004,2024-12-30,Unsatisfactory,2024-H2,False,38.0,E14294,,0,0,0,0.87,Insurance,2,38.5,,0,1
E00004,2025-05-30,Outstanding,2025-H1,False,76.5,E14294,,0,0,0,0.87,Insurance,2,38.5,,0,1
E00005,2024-06-28,High Performer,2024-H1,False,67.7,E12337,2024-12-24,1,0,0,0.91,Wealth Management,2,37.41666666666666,179.0,1,1
E00005,2024-12-13,Outstanding,2024-H2,False,97.1,E12337,2024-12-24,1,0,0,0.91,Wealth Management,2,37.41666666666666,11.0,1,1
E00006,2024-06-23,High Performer,2024-H1,False,90.2,E00218,2025-04-17,1,0,0,0.83,Corporate Operations,2,37.75,298.0,0,1
E00006,2024-12-23,Outstanding,2024-H2,True,86.8,E00218,2025-04-17,1,0,0,0.83,Corporate Operations,2,37.75,115.0,1,0
