pattern,n,pct,group,n_silent
RRRRR,4018,0.4344723183391003,Never silent,0
SRRRR,757,0.08185553633217993,One-off skip,1
RRRRS,734,0.07936851211072664,Went quiet and stayed quiet,1
RSRRR,731,0.07904411764705882,One-off skip,1
RRRSR,729,0.07882785467128027,One-off skip,1
RRSRR,725,0.07839532871972318,One-off skip,1
RRSRS,147,0.015895328719723184,In and out,2
RRRSS,139,0.015030276816608996,Went quiet and stayed quiet,2
SSRRR,135,0.014597750865051903,In and out,2
RSRRS,131,0.01416522491349481,In and out,2
SRRSR,130,0.014057093425605537,In and out,2
SRSRR,126,0.013624567474048443,In and out,2
RRSSR,126,0.013624567474048443,In and out,2
RSRSR,124,0.013408304498269897,In and out,2
RSSRR,123,0.013300173010380624,In and out,2
SRRRS,122,0.013192041522491349,In and out,2
RRSSS,26,0.0028114186851211074,Went quiet and stayed quiet,3
RSRSS,26,0.0028114186851211074,In and out,3
RSSSR,25,0.0027032871972318337,In and out,3
SRSRS,25,0.0027032871972318337,In and out,3
SRSSR,23,0.002487024221453287,In and out,3
RSSRS,22,0.002378892733564014,In and out,3
SRRSS,21,0.0022707612456747406,In and out,3
SSRRS,18,0.0019463667820069203,In and out,3
SSSRR,18,0.0019463667820069203,In and out,3
SSRSR,15,0.0016219723183391003,In and out,3
SSRSS,7,0.0007569204152249135,In and out,4
SRSSS,6,0.0006487889273356401,In and out,4
SSSSR,5,0.0005406574394463668,In and out,4
RSSSS,4,0.00043252595155709344,Went quiet and stayed quiet,4
SSSRS,4,0.00043252595155709344,In and out,4
-RRRR,4,0.00043252595155709344,In and out,0
-SRRR,1,0.00010813148788927336,One-off skip,1
-RRRS,1,0.00010813148788927336,Went quiet and stayed quiet,1
