employee_id,wave_number,survey_date,response_flag,manager_effectiveness,psychological_safety,recognition,career_development,senior_leadership_trust,purpose_meaning,wellbeing,confidence_in_role_future,exit_dt,voluntary,regrettable,hipo,compa_ratio,salary,department,boundary,silent,quit_next,reg_next,exit_type,invol_next
E00001,1,2024-03-08,True,5.0,4.39,4.55,4.25,3.72,3.47,4.83,4.57,,0,0,0,0.79,115200.0,Wealth Management,2024-07-01,0,0,0,,0
E00001,2,2024-06-27,True,4.69,4.26,4.1,3.52,3.57,4.0,4.79,4.71,,0,0,0,0.79,115200.0,Wealth Management,2024-10-01,0,0,0,,0
E00001,3,2024-10-25,True,4.65,4.67,4.87,3.72,3.51,3.8,4.52,4.34,,0,0,0,0.79,115200.0,Wealth Management,2025-02-01,0,0,0,,0
E00001,4,2025-01-31,True,4.25,5.0,5.0,3.29,4.9,4.69,5.0,4.46,,0,0,0,0.79,115200.0,Wealth Management,2025-08-01,0,0,0,,0
E00001,5,2025-08-05,True,4.57,4.34,5.0,3.78,4.57,3.75,4.46,4.37,,0,0,0,0.79,115200.0,Wealth Management,2025-12-31,0,0,0,,0
E00003,1,2024-03-07,True,4.96,3.78,5.0,4.33,4.6,4.16,5.0,5.0,,0,0,0,0.85,170200.0,Wealth Management,2024-07-01,0,0,0,,0
E00003,2,2024-07-02,True,5.0,3.42,4.6,4.32,4.08,4.64,4.47,4.91,,0,0,0,0.85,170200.0,Wealth Management,2024-10-01,0,0,0,,0
E00003,3,2024-09-14,True,5.0,3.73,3.9,3.47,4.12,4.2,5.0,5.0,,0,0,0,0.85,170200.0,Wealth Management,2025-02-01,0,0,0,,0
E00003,4,2025-01-28,True,4.89,3.75,4.04,3.89,4.38,4.41,4.84,4.64,,0,0,0,0.85,170200.0,Wealth Management,2025-08-01,0,0,0,,0
E00003,5,2025-07-28,True,5.0,3.24,4.52,4.32,4.66,5.0,5.0,5.0,,0,0,0,0.85,170200.0,Wealth Management,2025-12-31,0,0,0,,0
E00004,1,2024-03-05,True,2.13,4.82,3.96,3.96,3.49,2.93,1.68,2.86,,0,0,0,0.87,125500.0,Insurance,2024-07-01,0,0,0,,0
E00004,2,2024-06-30,True,2.13,4.23,3.74,3.79,3.36,2.58,2.76,2.9,,0,0,0,0.87,125500.0,Insurance,2024-10-01,0,0,0,,0
