employee_id,wave,wave_date,response_flag,overall,manager_effectiveness,psychological_safety,recognition,career_development,senior_leadership_trust,purpose_meaning,wellbeing,confidence_in_role_future,state,hipo_flag,department,role_level,compa_ratio,tenure_months,exit_dt,exit_type,regrettable_flag,salary,silence_run,prev_state,prev_overall,newly_silent,days_to_exit,exit_180,regret_180,invol_180
E00001,1,2024-03-08,True,4.3475,5.0,4.39,4.55,4.25,3.72,3.47,4.83,4.57,responded,False,Wealth Management,2,0.79,462,,,,115200.0,0,,,0,,0,0,0
E00001,2,2024-07-08,True,4.205,4.69,4.26,4.1,3.52,3.57,4.0,4.79,4.71,responded,False,Wealth Management,2,0.79,462,,,,115200.0,0,responded,4.3475,0,,0,0,0
E00001,3,2024-10-31,True,4.26,4.65,4.67,4.87,3.72,3.51,3.8,4.52,4.34,responded,False,Wealth Management,2,0.79,462,,,,115200.0,0,responded,4.205,0,,0,0,0
E00001,4,2025-02-08,True,4.57375,4.25,5.0,5.0,3.29,4.9,4.69,5.0,4.46,responded,False,Wealth Management,2,0.79,462,,,,115200.0,0,responded,4.26,0,,0,0,0
E00001,5,2025-08-08,True,4.3549999999999995,4.57,4.34,5.0,3.78,4.57,3.75,4.46,4.37,responded,False,Wealth Management,2,0.79,462,,,,115200.0,0,responded,4.57375,0,,0,0,0
E00003,1,2024-03-08,True,4.60375,4.96,3.78,5.0,4.33,4.6,4.16,5.0,5.0,responded,False,Wealth Management,3,0.85,462,,,,170200.0,0,,,0,,0,0,0
E00003,2,2024-07-08,True,4.43,5.0,3.42,4.6,4.32,4.08,4.64,4.47,4.91,responded,False,Wealth Management,3,0.85,462,,,,170200.0,0,responded,4.60375,0,,0,0,0
E00003,3,2024-10-31,True,4.3025,5.0,3.73,3.9,3.47,4.12,4.2,5.0,5.0,responded,False,Wealth Management,3,0.85,462,,,,170200.0,0,responded,4.43,0,,0,0,0
E00003,4,2025-02-08,True,4.355,4.89,3.75,4.04,3.89,4.38,4.41,4.84,4.64,responded,False,Wealth Management,3,0.85,462,,,,170200.0,0,responded,4.3025,0,,0,0,0
E00003,5,2025-08-08,True,4.592499999999999,5.0,3.24,4.52,4.32,4.66,5.0,5.0,5.0,responded,False,Wealth Management,3,0.85,462,,,,170200.0,0,responded,4.355,0,,0,0,0
E00004,1,2024-03-08,True,3.2287500000000002,2.13,4.82,3.96,3.96,3.49,2.93,1.68,2.86,responded,False,Insurance,2,0.87,462,,,,125500.0,0,,,0,,0,0,0
E00004,2,2024-07-08,True,3.1862500000000002,2.13,4.23,3.74,3.79,3.36,2.58,2.76,2.9,responded,False,Insurance,2,0.87,462,,,,125500.0,0,responded,3.2287500000000002,0,,0,0,0
E00004,3,2024-10-31,True,3.505,2.84,4.19,3.93,4.12,3.04,3.14,2.52,4.26,responded,False,Insurance,2,0.87,462,,,,125500.0,0,responded,3.1862500000000002,0,,0,0,0
E00004,4,2025-02-08,True,3.25,2.64,3.91,3.65,4.62,2.39,3.45,2.05,3.29,responded,False,Insurance,2,0.87,462,,,,125500.0,0,responded,3.505,0,,0,0,0
E00004,5,2025-08-08,True,3.02125,2.14,3.68,2.1,3.36,3.72,4.3,1.98,2.89,responded,False,Insurance,2,0.87,462,,,,125500.0,0,responded,3.25,0,,0,0,0
E00005,1,2024-03-08,True,3.54125,4.21,3.69,3.49,5.0,3.21,3.05,2.83,2.85,responded,False,Wealth Management,2,0.91,449,2024-12-24,voluntary,False,132400.0,0,,,0,291.0,0,0,0
E00005,2,2024-07-08,True,3.755,4.85,4.1,3.09,4.49,3.33,4.1,2.29,3.79,responded,False,Wealth Management,2,0.91,449,2024-12-24,voluntary,False,132400.0,0,responded,3.54125,0,169.0,1,0,0
E00005,3,2024-10-31,False,,,,,,,,,,silent,False,Wealth Management,2,0.91,449,2024-12-24,voluntary,False,132400.0,1,responded,3.755,1,54.0,1,0,0
E00006,1,2024-03-08,True,3.3175,3.02,3.11,3.56,4.04,2.74,2.53,3.39,4.15,responded,False,Corporate Operations,2,0.83,453,2025-04-17,voluntary,False,120600.0,0,,,0,405.0,0,0,0
E00006,2,2024-07-08,False,,,,,,,,,,silent,False,Corporate Operations,2,0.83,453,2025-04-17,voluntary,False,120600.0,1,responded,3.3175,1,283.0,0,0,0
E00006,3,2024-10-31,True,2.94875,3.25,2.45,2.16,3.6,2.88,2.48,2.52,4.25,responded,False,Corporate Operations,2,0.83,453,2025-04-17,voluntary,False,120600.0,0,silent,,0,168.0,1,0,0
E00006,4,2025-02-08,True,2.75875,2.82,3.09,3.24,3.61,2.69,1.39,2.57,2.66,responded,False,Corporate Operations,2,0.83,453,2025-04-17,voluntary,False,120600.0,0,responded,2.94875,0,68.0,1,0,0
E00007,1,2024-03-08,True,3.86625,5.0,2.82,3.85,3.38,3.48,4.66,4.81,2.93,responded,False,Wealth Management,2,0.92,462,,,,133400.0,0,,,0,,0,0,0
E00007,2,2024-07-08,True,3.7262500000000003,5.0,2.88,3.18,2.97,3.29,4.89,5.0,2.6,responded,False,Wealth Management,2,0.92,462,,,,133400.0,0,responded,3.86625,0,,0,0,0
E00007,3,2024-10-31,True,3.47,4.58,2.38,3.11,2.96,3.43,3.85,4.04,3.41,responded,False,Wealth Management,2,0.92,462,,,,133400.0,0,responded,3.7262500000000003,0,,0,0,0
E00007,4,2025-02-08,True,3.70875,4.93,3.64,3.06,2.99,3.06,5.0,3.89,3.1,responded,False,Wealth Management,2,0.92,462,,,,133400.0,0,responded,3.47,0,,0,0,0
E00007,5,2025-08-08,False,,,,,,,,,,silent,False,Wealth Management,2,0.92,462,,,,133400.0,1,responded,3.70875,1,,0,0,0
E00009,1,2024-03-08,False,,,,,,,,,,silent,False,Retail Banking,2,0.9,462,,,,130700.0,1,,,0,,0,0,0
