from,to,n,transition,pct_of_from
not_employed,left/not_employed,2055,W1->W2,0.6784417299438759
not_surveyed,left/not_employed,0,W1->W2,0.0
responded,left/not_employed,141,W1->W2,0.016801715919923736
silent,left/not_employed,59,W1->W2,0.035909920876445525
not_employed,not_surveyed,116,W1->W2,0.03829646748101684
not_surveyed,not_surveyed,0,W1->W2,0.0
responded,not_surveyed,0,W1->W2,0.0
silent,not_surveyed,0,W1->W2,0.0
not_employed,responded,571,W1->W2,0.18851105975569496
not_surveyed,responded,5,W1->W2,0.7142857142857143
responded,responded,6938,W1->W2,0.8267397521448999
silent,responded,1324,W1->W2,0.8058429701765064
not_employed,silent,287,W1->W2,0.09475074281941234
not_surveyed,silent,2,W1->W2,0.2857142857142857
responded,silent,1313,W1->W2,0.15645853193517636
silent,silent,260,W1->W2,0.15824710894704808
not_employed,left/not_employed,1278,W2->W3,0.5667405764966741
not_surveyed,left/not_employed,5,W2->W3,0.04310344827586207
responded,left/not_employed,145,W2->W3,0.01640642679339217
silent,left/not_employed,71,W2->W3,0.038131041890440386
not_employed,not_surveyed,19,W2->W3,0.008425720620842573
not_surveyed,not_surveyed,0,W2->W3,0.0
responded,not_surveyed,0,W2->W3,0.0
silent,not_surveyed,0,W2->W3,0.0
not_employed,responded,617,W2->W3,0.2736141906873614
not_surveyed,responded,71,W2->W3,0.6120689655172413
responded,responded,7233,W2->W3,0.818397827562797
silent,responded,1452,W2->W3,0.7798066595059077
not_employed,silent,341,W2->W3,0.15121951219512195
not_surveyed,silent,40,W2->W3,0.3448275862068966
responded,silent,1460,W2->W3,0.16519574564381082
silent,silent,339,W2->W3,0.182062298603652
not_employed,left/not_employed,1446,W3->W4,0.9646430953969313
not_surveyed,left/not_employed,0,W3->W4,0.0
responded,left/not_employed,114,W3->W4,0.012162594686866531
silent,left/not_employed,69,W3->W4,0.03165137614678899
not_employed,not_surveyed,7,W3->W4,0.004669779853235491
not_surveyed,not_surveyed,0,W3->W4,0.0
responded,not_surveyed,0,W3->W4,0.0
silent,not_surveyed,0,W3->W4,0.0
not_employed,responded,42,W3->W4,0.028018679119412943
not_surveyed,responded,16,W3->W4,0.8421052631578947
responded,responded,7602,W3->W4,0.8110530246452576
silent,responded,1632,W3->W4,0.7486238532110092
not_employed,silent,4,W3->W4,0.00266844563042028
not_surveyed,silent,3,W3->W4,0.15789473684210525
responded,silent,1657,W3->W4,0.1767843806678758
silent,silent,479,W3->W4,0.21972477064220183
not_employed,left/not_employed,604,W4->W5,0.3707796193984039
not_surveyed,left/not_employed,0,W4->W5,0.0
responded,left/not_employed,224,W4->W5,0.02410675850193715
silent,left/not_employed,121,W4->W5,0.05646290247316846
not_employed,not_surveyed,6,W4->W5,0.003683241252302026
not_surveyed,not_surveyed,0,W4->W5,0.0
responded,not_surveyed,0,W4->W5,0.0
silent,not_surveyed,0,W4->W5,0.0
not_employed,responded,713,W4->W5,0.4376918354818907
not_surveyed,responded,5,W4->W5,0.7142857142857143
responded,responded,7435,W4->W5,0.8001506672406371
silent,responded,1572,W4->W5,0.7335510965935604
not_employed,silent,306,W4->W5,0.1878453038674033
not_surveyed,silent,2,W4->W5,0.2857142857142857
responded,silent,1633,W4->W5,0.17574257425742573
silent,silent,450,W4->W5,0.2099860009332711
