employee_id,manager_id,status,hire_date,exit_date,cutoff_date,tenure_months,tenure_months_raw,tenure_months_raw_reliable_flag,salary,compa_ratio,compa_ratio_outside_screening_band,role_family,job_title,role_level,department,hire_source,legacy_entity,contract_type,hipo_flag,promotion_eligible,acting_appointment,data_source_system,gender,age_band,cultural_background,engagement_n_waves_available,engagement_n_responses_available,engagement_response_rate,engagement_recent_non_response_flag,engagement_consecutive_non_responses,engagement_responder_to_nonresponder_transition_flag,manager_effectiveness_latest_score,manager_effectiveness_earliest_score,manager_effectiveness_abs_change,manager_effectiveness_slope_per_wave,manager_effectiveness_volatility,manager_effectiveness_persistent_low_flag,manager_effectiveness_consecutive_deterioration_flag,psychological_safety_latest_score,psychological_safety_earliest_score,psychological_safety_abs_change,psychological_safety_slope_per_wave,psychological_safety_volatility,psychological_safety_persistent_low_flag,psychological_safety_consecutive_deterioration_flag,recognition_latest_score,recognition_earliest_score,recognition_abs_change,recognition_slope_per_wave,recognition_volatility,recognition_persistent_low_flag,recognition_consecutive_deterioration_flag,career_development_latest_score,career_development_earliest_score,career_development_abs_change,career_development_slope_per_wave,career_development_volatility,career_development_persistent_low_flag,career_development_consecutive_deterioration_flag,senior_leadership_trust_latest_score,senior_leadership_trust_earliest_score,senior_leadership_trust_abs_change,senior_leadership_trust_slope_per_wave,senior_leadership_trust_volatility,senior_leadership_trust_persistent_low_flag,senior_leadership_trust_consecutive_deterioration_flag,purpose_meaning_latest_score,purpose_meaning_earliest_score,purpose_meaning_abs_change,purpose_meaning_slope_per_wave,purpose_meaning_volatility,purpose_meaning_persistent_low_flag,purpose_meaning_consecutive_deterioration_flag,wellbeing_latest_score,wellbeing_earliest_score,wellbeing_abs_change,wellbeing_slope_per_wave,wellbeing_volatility,wellbeing_persistent_low_flag,wellbeing_consecutive_deterioration_flag,confidence_in_role_future_latest_score,confidence_in_role_future_earliest_score,confidence_in_role_future_abs_change,confidence_in_role_future_slope_per_wave,confidence_in_role_future_volatility,confidence_in_role_future_persistent_low_flag,confidence_in_role_future_consecutive_deterioration_flag,performance_n_reviews_available,performance_latest_rating,performance_previous_rating,performance_rating_change_ordinal,performance_goal_achievement_latest,performance_goal_achievement_trend,performance_promotion_recommendation_count,performance_promotion_recommendation_rate,performance_promotion_recommendation_ever,departed,voluntary_exit,regrettable_exit,regrettable_voluntary_exit,pull_exit,exit_type,pathway,stated_exit_reason,performance_band_at_exit
E00001,E04330,active,1988-01-11,,2025-12-31,456,462,False,115200.0,0.79,False,Operations-Processing,"Manager, Wealth Management",2,Wealth Management,referral,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Female,60+,Anglo-Australian,5,5,1.0,False,0.0,False,4.57,5.0,-0.4299999999999997,-0.13000000000000064,0.26873779042032775,False,True,4.34,4.39,-0.04999999999999982,0.06400000000000028,0.30375977350531463,False,False,5.0,4.55,0.4500000000000002,0.18000000000000044,0.3844866707702624,False,False,3.78,4.25,-0.4700000000000002,-0.11699999999999985,0.3567492116319249,False,False,4.57,3.72,0.8500000000000001,0.303,0.637126361093308,False,True,3.75,3.47,0.2799999999999998,0.12499999999999993,0.45898801727278254,False,False,4.46,4.83,-0.3700000000000001,-0.05299999999999985,0.22527760652137632,False,True,4.37,4.57,-0.20000000000000018,-0.0650000000000001,0.15215124054702941,False,False,3,Meets Expectations,Meets Expectations,0.0,76.4,15.149999999999999,0,0.0,False,False,False,False,False,False,,,,
E00003,E13109,active,1988-01-13,,2025-12-31,456,462,False,170200.0,0.85,False,Corporate-Support,"Senior Manager, Wealth Management",3,Wealth Management,direct,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Female,60+,South Asian,5,5,1.0,False,0.0,False,5.0,4.96,0.040000000000000036,-0.0029999999999997897,0.04795831523312733,False,False,3.24,3.78,-0.5399999999999996,-0.0749999999999998,0.2411016383187803,False,False,4.52,5.0,-0.4800000000000004,-0.15199999999999986,0.44533133732087615,False,True,4.32,4.33,-0.009999999999999787,-0.04500000000000001,0.38240031380740264,False,True,4.66,4.6,0.0600000000000005,0.04200000000000022,0.26630809225406565,False,False,5.0,4.16,0.8399999999999999,0.14500000000000013,0.34701584978211,False,False,5.0,5.0,0.0,0.03699999999999989,0.2298260211551339,False,False,5.0,5.0,0.0,-0.027000000000000017,0.1558845726811991,False,False,3,High Performer,High Performer,0.0,83.2,8.099999999999987,2,0.6666666666666666,True,False,False,False,False,False,,,,
E00004,E14294,active,1988-01-14,,2025-12-31,456,462,False,125500.0,0.87,False,Management,"Manager, Insurance",2,Insurance,referral,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Female,60+,East Asian,5,5,1.0,False,0.0,False,2.14,2.13,0.010000000000000231,0.05300000000000008,0.3397499080205909,False,True,3.68,4.82,-1.1400000000000001,-0.2600000000000002,0.4284040149204954,False,True,2.1,3.96,-1.8599999999999999,-0.3810000000000003,0.7800192305321709,False,True,3.36,3.96,-0.6000000000000001,-0.0370000000000001,0.4608687448721166,False,False,3.72,3.49,0.22999999999999998,-0.05100000000000001,0.5152184002925362,False,True,4.3,2.93,1.3699999999999997,0.36100000000000004,0.6521886230225117,False,False,1.98,1.68,0.30000000000000004,-0.011000000000000105,0.43510918170040946,True,True,2.89,2.86,0.03000000000000025,0.044999999999999936,0.596950584219498,False,True,3,Outstanding,Unsatisfactory,4.0,76.5,4.749999999999999,0,0.0,False,False,False,False,False,False,,,,
E00005,E12337,departed,1988-01-14,2024-12-24,2024-12-24,444,449,False,132400.0,0.91,False,Technology,"Manager, Wealth Management",2,Wealth Management,direct,NovaCorp-Origin,Full-time,False,True,False,WorkdayHR,Female,60+,East Asian,3,2,0.6666666666666666,True,1.0,True,4.85,4.21,0.6399999999999997,0.6400000000000007,0.4525483399593902,False,False,4.1,3.69,0.4099999999999997,0.4100000000000018,0.2899137802864843,False,False,3.09,3.49,-0.40000000000000036,-0.3999999999999986,0.2828427124746193,False,False,4.49,5.0,-0.5099999999999998,-0.5099999999999981,0.36062445840513907,False,False,3.33,3.21,0.1200000000000001,0.12000000000000115,0.08485281374238578,False,False,4.1,3.05,1.0499999999999998,1.0499999999999998,0.7424621202458748,False,False,2.29,2.83,-0.54,-0.5399999999999988,0.3818376618407357,False,False,3.79,2.85,0.94,0.9399999999999997,0.6646803743153546,False,False,2,Outstanding,High Performer,1.0,97.1,29.399999999999974,0,0.0,False,True,True,False,False,False,voluntary,push,Relocation,Meets Expectations
E00006,E00218,departed,1988-01-15,2025-04-17,2025-04-17,448,453,False,120600.0,0.83,False,Risk-Compliance,"Manager, Corporate Operations",2,Corporate Operations,agency,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Female,60+,Anglo-Australian,4,3,0.75,False,0.0,True,2.82,3.02,-0.20000000000000018,-0.04071428571428564,0.2151743479135002,False,False,3.09,3.11,-0.020000000000000018,-0.052857142857143255,0.37541088600802885,False,False,3.24,3.56,-0.31999999999999984,-0.19142857142857136,0.7335757175188757,False,False,3.61,4.04,-0.43000000000000016,-0.15428571428571486,0.25119713374160946,False,False,2.69,2.74,-0.050000000000000266,-0.004285714285714536,0.09848857801796097,False,False,1.39,2.53,-1.14,-0.32928571428571457,0.6442308075009556,False,True,2.57,3.39,-0.8200000000000003,-0.2964285714285718,0.4885011088353162,False,False,2.66,4.15,-1.4900000000000002,-0.4185714285714291,0.8905241902011047,False,False,2,Outstanding,High Performer,1.0,86.8,-3.4000000000000132,1,0.5,True,True,True,False,False,False,voluntary,push,Work-life balance,Below Expectations
E00007,E09066,active,1988-01-15,,2025-12-31,456,462,False,133400.0,0.92,False,Management,"Manager, Wealth Management",2,Wealth Management,direct,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Prefer not to say,60+,South Asian,5,4,0.8,True,1.0,True,4.93,5.0,-0.07000000000000028,-0.063,0.20105969262883097,False,False,3.64,2.82,0.8200000000000003,0.19599999999999992,0.5231953108862248,False,False,3.06,3.85,-0.79,-0.24400000000000016,0.36995495221265345,False,True,2.99,3.38,-0.3899999999999997,-0.11799999999999995,0.2037154878746335,False,True,3.06,3.48,-0.41999999999999993,-0.11199999999999982,0.1880602740258204,False,False,5.0,4.66,0.33999999999999986,-0.002000000000000015,0.5196793883411834,False,False,3.89,4.81,-0.9199999999999995,-0.37199999999999966,0.551633936592012,False,True,3.1,2.93,0.16999999999999993,0.13199999999999987,0.33793490497431605,False,False,3,Meets Expectations,Meets Expectations,0.0,51.0,-8.250000000000004,0,0.0,False,False,False,False,False,False,,,,
E00008,E00249,departed,1988-01-18,2024-02-19,2024-02-19,434,439,False,117800.0,0.81,False,Corporate-Support,"Manager, Technology",2,Technology,acquisition,NovaCorp-Origin,Fixed-term,False,False,False,WorkdayHR,Male,55-59,Anglo-Australian,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Outstanding,,,75.7,,0,0.0,False,True,True,False,False,False,voluntary,push,Career advancement,Meets Expectations
E00009,E07814,active,1988-01-20,,2025-12-31,456,462,False,130700.0,0.9,False,Technology,"Manager, Retail Banking",2,Retail Banking,agency,NovaCorp-Origin,Full-time,False,True,False,WorkdayHR,Female,60+,Anglo-Australian,5,4,0.8,False,0.0,False,2.05,2.73,-0.6800000000000002,-0.2999999999999998,0.4808326112068523,False,False,2.37,2.31,0.06000000000000005,0.0290000000000002,0.05737304826019497,False,False,2.58,2.68,-0.10000000000000009,-0.030999999999999816,0.14728091073410254,False,True,3.22,3.09,0.13000000000000034,0.010000000000000139,0.1444529912001364,False,False,1.78,2.62,-0.8400000000000001,-0.2999999999999996,0.4148895435333763,False,True,3.75,3.79,-0.040000000000000036,0.04999999999999979,0.43401228861250785,False,False,2.19,2.66,-0.4700000000000002,-0.2689999999999995,0.5657664417996765,False,False,2.94,5.0,-2.06,-0.7299999999999995,0.9641922353279282,False,True,3,Below Expectations,Meets Expectations,-1.0,47.4,-6.449999999999988,0,0.0,False,False,False,False,False,False,,,,
E00010,E06643,active,1988-01-23,,2025-12-31,456,461,False,126400.0,0.87,False,Management,"Manager, Retail Banking",2,Retail Banking,agency,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Male,60+,Anglo-Australian,5,4,0.8,False,0.0,True,4.57,3.9,0.6700000000000004,0.10200000000000026,0.6708887140701256,False,False,3.55,3.05,0.5,0.22142857142857197,0.7675230724002156,False,False,4.9,4.03,0.8700000000000001,0.1920000000000004,0.6278534860936906,False,False,4.0,3.52,0.48,0.11771428571428606,0.20231987873991353,False,False,4.56,4.21,0.34999999999999964,0.061428571428572235,0.22983689869122426,False,False,1.76,2.01,-0.24999999999999978,-0.07314285714285686,0.17146428199482244,True,True,3.16,3.33,-0.16999999999999993,-0.06971428571428512,0.6312421616675065,False,True,4.44,3.13,1.3100000000000005,0.37914285714285767,0.7418164642731156,False,False,3,Meets Expectations,Meets Expectations,0.0,57.3,-0.3500000000000058,0,0.0,False,False,False,False,False,False,,,,
E00011,E06856,active,1988-01-23,,2025-12-31,456,461,False,125100.0,0.86,False,Technology,"Manager, Retail Banking",2,Retail Banking,direct,NovaCorp-Origin,Full-time,False,False,False,WorkdayHR,Female,60+,Anglo-Australian,5,4,0.8,False,0.0,True,4.4,3.72,0.6800000000000002,0.1909999999999994,0.3931390763245665,False,False,3.05,3.59,-0.54,-0.24000000000000044,0.5947268280479704,False,False,1.0,2.7,-1.7000000000000002,-0.3690000000000006,0.7576883704179884,False,True,3.06,3.95,-0.8900000000000001,-0.1940000000000003,0.4926374596665044,False,True,3.74,3.35,0.3900000000000001,0.14199999999999963,0.31308944408906547,False,False,4.39,3.86,0.5299999999999998,0.24399999999999933,0.6128825336065631,False,False,2.74,2.69,0.050000000000000266,-0.008000000000000309,0.9010133184365257,False,True,4.17,4.09,0.08000000000000007,0.028999999999999318,0.19771612647092449,False,False,3,High Performer,Below Expectations,2.0,81.7,-2.750000000000004,0,0.0,False,False,False,False,False,False,,,,
